Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-12-28,183.458,185.795,182.984,185.795,1619.1638254378
2020-12-29,186.27,186.736,181.112,181.112,3201.4806197376
2020-12-30,179.232,182.518,178.767,182.518,11202.550238286
2021-01-04,183.924,183.924,180.637,182.984,1553.8919417075
2021-01-05,182.984,183.924,182.043,182.043,1184.3688580088
2021-01-07,182.984,183.458,180.637,182.043,2085.5419624137
2021-01-08,182.043,183.924,182.043,182.043,4277.4139289687
2021-01-11,182.984,182.984,181.578,182.043,2164.499886281
2021-01-12,182.984,183.924,182.518,182.518,1515.9921382513
2021-01-13,182.984,182.984,182.043,182.984,2041.3255250481
2021-01-14,182.984,183.458,182.043,182.043,856.95666703926
2021-01-15,182.518,182.984,181.112,181.112,1239.1130185568
2021-01-18,181.112,183.458,178.767,179.697,2549.8145547532
2021-01-19,179.232,181.578,179.232,181.112,751.67943521625
2021-01-20,181.112,182.043,179.697,182.043,2310.835238515
2021-01-21,182.518,182.518,181.112,182.043,335.83436951538
2021-01-22,182.043,182.518,180.172,181.578,306.35674460494
2021-01-25,181.112,182.043,179.232,179.232,614.81903384635
2021-01-26,180.172,181.112,179.232,181.112,819.05686358298
2021-01-27,181.112,181.112,180.172,180.637,1106.4637064598
2021-01-28,181.112,186.736,176.42,186.27,8986.4645084117
2021-01-29,186.736,186.736,179.232,184.389,2579.2921796636
2021-02-01,184.389,184.389,182.518,182.984,452.69209683892
2021-02-02,182.984,183.924,182.043,182.984,807.47636808244
2021-02-03,183.924,186.736,182.984,182.984,759.04884144386
2021-02-04,184.389,185.33,182.984,182.984,5268.0726804231
2021-02-05,186.736,186.736,182.043,182.043,4527.9737407074
2021-02-08,182.043,184.864,181.578,182.043,752.73220753448
2021-02-09,184.864,184.864,182.043,182.043,659.03547121201
2021-02-10,182.984,184.864,180.172,183.924,1527.5726337518
2021-02-11,183.924,185.795,182.984,185.795,3122.5226958703
2021-02-12,185.795,185.795,183.924,184.864,561.12764561661
2021-02-15,185.795,186.27,183.458,185.795,1749.7075928983
2021-02-16,185.795,185.795,183.458,183.458,1058.0361798212
2021-02-17,183.924,184.864,182.043,182.984,777.998743172
2021-02-18,184.389,184.389,182.043,182.984,1281.223911286
2021-02-19,182.984,182.984,180.172,182.518,1557.0502586622
2021-02-22,182.043,182.518,179.232,179.697,1217.0047998739
2021-02-23,179.697,181.578,179.232,179.697,1439.1397590205
2021-02-24,181.578,181.578,179.232,181.112,594.81635979998
2021-02-25,182.518,182.984,178.291,178.291,3057.2508121401
2021-02-26,178.291,179.232,176.885,177.826,1993.9507707277
2021-03-01,179.232,179.232,175.479,175.479,3639.4339041213
2021-03-02,186.736,193.309,186.736,192.368,29191.270839882
2021-03-03,196.12,197.061,186.27,191.428,23644.213495129
2021-03-04,191.428,191.428,187.676,189.557,1178.0522240994
2021-03-05,189.557,191.428,186.736,190.488,7068.3133445965
2021-03-08,191.428,191.428,187.676,189.557,1072.7749922764
2021-03-09,189.557,189.557,186.736,187.676,1527.5726337518
2021-03-10,187.21,187.676,186.736,186.736,3517.3123152066
2021-03-11,187.676,193.309,186.736,190.488,14509.308089847
2021-03-12,192.368,198.001,191.428,197.061,4279.5194736051
2021-03-15,197.061,199.872,196.12,198.941,2315.0463277879
2021-03-16,199.872,200.813,196.12,196.12,8891.714999771
2021-03-17,197.061,197.061,188.616,188.616,1572.8418434357
2021-03-18,190.488,198.001,189.557,197.061,38689.382694954
2021-03-19,197.061,198.001,189.557,195.179,3520.4706321613
2021-03-22,195.179,195.179,190.488,194.249,3604.6924176197
2021-03-23,194.249,198.941,194.249,196.12,40670.700197863
2021-03-24,198.941,198.941,194.249,198.001,1646.5359057118
2021-03-25,198.001,202.693,198.001,199.872,4718.5255303071
2021-03-26,201.753,201.753,198.941,200.813,4682.7312714872
2021-03-29,202.693,205.505,198.941,205.505,2007.6368108647
2021-03-30,205.505,210.197,205.505,209.257,7171.4850317831
2021-03-31,209.257,211.138,208.317,208.317,19280.472236065
2021-04-01,210.197,210.197,205.505,209.257,1209.6353936463
2021-04-06,210.197,210.197,209.257,210.197,2807.7437727195
2021-04-07,210.197,210.197,206.445,210.197,2183.4497880091
2021-04-08,210.197,210.197,208.317,210.197,1329.6514379245
2021-04-09,210.197,210.197,208.317,210.197,2510.8619789787
2021-04-12,210.197,210.197,207.386,210.197,1378.0789645631
2021-04-13,210.197,210.197,205.505,207.386,2301.3602876509
2021-04-14,210.197,210.197,206.445,210.2,1652.8525396212
2021-04-15,210.197,211.138,210.197,211.138,3349.921516608
2021-04-16,211.138,215.83,211.138,214.89,1309.6487638782
2021-04-19,214.89,219.582,214.89,218.642,1287.5405451953
2021-04-20,215.83,216.77,210.197,213.949,909.59528295076
2021-04-21,212.078,213.009,207.386,213.009,805.37082344598
2021-04-22,211.138,215.83,211.138,214.89,401.10625324565
